model,dataset,layer,condition,top1_feature,top1_abs_delta,top1_signed_delta,mean_feature_abs_change,max_feature_abs_change,feature_stability,num_samples
qwen,qtsumm,13,noise_2_word_dropout,13300,0.003711,0.0,0.000254,0.003711,100.0,1078
qwen,qtsumm,13,noise_3_token_shuffle,33215,0.000232,-0.000232,6e-06,0.000232,100.0,1078
qwen,qtsumm,13,noise_4_semantic,25698,0.004812,0.000522,0.000282,0.004812,100.0,1078
qwen,qtsumm,13,noise_5_adversarial,25698,0.006609,0.0,0.000391,0.006609,100.0,1078
qwen,qtsumm,15,noise_1_character,113644,0.00458,0.000638,0.000329,0.00458,100.0,1078
qwen,qtsumm,15,noise_2_word_dropout,79255,0.003711,0.002551,0.000302,0.003711,100.0,1078
qwen,qtsumm,15,noise_3_token_shuffle,4314,0.000232,-0.000232,7e-06,0.000232,100.0,1078
qwen,qtsumm,15,noise_4_semantic,15706,0.004696,0.000406,0.000335,0.004696,100.0,1078
qwen,qtsumm,15,noise_5_adversarial,113644,0.006146,-0.000348,0.000464,0.006146,100.0,1078
qwen,qtsumm,18,noise_1_character,107048,0.002667,-0.000232,0.000379,0.002667,100.0,1078
qwen,qtsumm,18,noise_2_word_dropout,29978,0.002725,-0.000522,0.000352,0.002725,100.0,1078
qwen,qtsumm,18,noise_3_token_shuffle,1360,0.000116,0.000116,7e-06,0.000116,100.0,1078
qwen,qtsumm,18,noise_4_semantic,76617,0.002551,-0.00116,0.000389,0.002551,100.0,1078
qwen,qtsumm,18,noise_5_adversarial,107048,0.003595,0.000232,0.000535,0.003595,100.0,1078
qwen,qtsumm,20,noise_1_character,2758,0.005798,-0.003247,0.000485,0.005798,99.91,1078
qwen,qtsumm,20,noise_2_word_dropout,2758,0.006494,0.005566,0.000461,0.006494,99.91,1078
qwen,qtsumm,20,noise_3_token_shuffle,2758,0.000464,-0.000464,1e-05,0.000464,100.0,1078
qwen,qtsumm,20,noise_4_semantic,2758,0.006262,-0.003711,0.000498,0.006262,99.81,1078
qwen,qtsumm,20,noise_5_adversarial,2758,0.008233,-0.005218,0.000688,0.008233,99.72,1078
qwen,qtsumm,22,noise_1_character,16520,0.00516,0.001218,0.000617,0.00516,100.0,1078
qwen,qtsumm,22,noise_2_word_dropout,16520,0.004406,0.0,0.000598,0.004406,100.0,1078
qwen,qtsumm,22,noise_3_token_shuffle,83110,0.000232,-0.000232,1.4e-05,0.000232,100.0,1078
qwen,qtsumm,22,noise_4_semantic,16520,0.005566,0.000928,0.000631,0.005566,100.0,1078
qwen,qtsumm,22,noise_5_adversarial,16520,0.007537,-0.000116,0.000876,0.007537,100.0,1078
gemma,squad,19,noise_1_character,110777,0.146083,0.145417,0.055686,0.146083,100.0,1500
gemma,squad,19,noise_2_word_dropout,76769,0.097292,0.095042,0.039352,0.097292,100.0,1500
gemma,squad,19,noise_3_token_shuffle,92934,0.054625,0.053792,0.022993,0.054625,100.0,1500
gemma,squad,19,noise_4_semantic,37827,0.147167,0.146667,0.057912,0.147167,100.0,1500
gemma,squad,19,noise_5_adversarial,109747,0.053167,0.04975,0.015881,0.053167,100.0,1500
gemma,squad,23,noise_1_character,113094,0.199375,0.198375,0.075885,0.199375,99.13,1500
gemma,squad,23,noise_2_word_dropout,82668,0.109458,0.108542,0.039659,0.109458,99.47,1500
gemma,squad,23,noise_3_token_shuffle,94684,0.063667,0.062667,0.023563,0.063667,99.93,1500
gemma,squad,23,noise_4_semantic,93643,0.168167,0.165667,0.059492,0.168167,99.33,1500
gemma,squad,23,noise_5_adversarial,44807,0.063833,0.062,0.018394,0.063833,99.67,1500
gemma,squad,26,noise_1_character,85426,0.212917,0.211417,0.094966,0.212917,99.87,1500
gemma,squad,26,noise_2_word_dropout,84305,0.149917,0.147417,0.052928,0.149917,99.93,1500
gemma,squad,26,noise_3_token_shuffle,57828,0.064917,0.063917,0.026088,0.064917,99.93,1500
gemma,squad,26,noise_4_semantic,54299,0.22175,0.219583,0.05956,0.22175,99.73,1500
gemma,squad,26,noise_5_adversarial,100624,0.072167,-0.068667,0.022015,0.072167,99.93,1500
gemma,squad,29,noise_1_character,100519,0.288583,0.286417,0.123468,0.288583,99.87,1500
