model,dataset,condition,layer,head,entropy_clean,entropy_noisy,entropy_delta,query_mass_clean,query_mass_noisy,query_mass_delta
llama,squad,noise_1_character,1,26,0.6278707951307296,0.6463012516498565,0.018430456519126892,0.009748520702123642,0.009120257198810577,-0.0006282635033130646
llama,squad,noise_1_character,1,27,0.5418161615729332,0.5548340260982514,0.013017864525318145,0.013671207427978515,0.013317310810089111,-0.0003538966178894043
llama,squad,noise_1_character,1,28,2.7418893396854402,2.712122118473053,-0.029767221212387084,0.12896728515625,0.1321554183959961,0.0031881332397460938
llama,squad,noise_1_character,1,29,1.973545455932617,1.9859573066234588,0.012411850690841674,0.0629127025604248,0.06367816925048828,0.0007654666900634765
llama,squad,noise_1_character,1,30,1.0885231077671051,1.0744306683540343,-0.014092439413070678,0.019465374946594238,0.018709075450897217,-0.0007562994956970215
llama,squad,noise_1_character,1,31,1.6698711574077607,1.6362212896347046,-0.03364986777305603,0.09005203247070312,0.08522109985351563,-0.0048309326171875
llama,squad,noise_1_character,2,0,0.43943769931793214,0.4362501487135887,-0.0031875506043434142,0.004803091287612915,0.005810683965682984,0.0010075926780700683
llama,squad,noise_1_character,2,1,0.33900838196277616,0.3394819810986519,0.0004735991358757019,0.0043369710445404054,0.006981843709945678,0.0026448726654052734
llama,squad,noise_1_character,2,2,0.3411127656698227,0.33885537981987,-0.002257385849952698,0.004506075382232666,0.0051043078303337095,0.0005982324481010437
llama,squad,noise_1_character,2,3,0.31956528350710867,0.3344308763742447,0.014865592867136002,0.023284709453582762,0.029928553104400634,0.006643843650817871
llama,squad,noise_1_character,2,4,1.537113106250763,1.5365985035896301,-0.0005146026611328125,0.06408882141113281,0.0698486328125,0.005759811401367188
llama,squad,noise_1_character,2,5,1.6369118690490723,1.626329815387726,-0.010582053661346435,0.06011199951171875,0.06708345413208008,0.0069714546203613285
llama,squad,noise_1_character,2,6,1.1712888300418853,1.1821447730064392,0.010855942964553833,0.040062999725341795,0.04928512573242187,0.009222126007080078
llama,squad,noise_1_character,2,7,0.8300504654645919,0.8440204739570618,0.013970008492469788,0.029656648635864258,0.03292114734649658,0.003264498710632324
llama,squad,noise_1_character,2,8,0.26830754727125167,0.2832483917474747,0.014940844476222992,0.0019745733588933945,0.0022622540593147276,0.0002876807004213333
llama,squad,noise_1_character,2,9,0.3255465738475323,0.3335631288588047,0.00801655501127243,0.0035561807453632355,0.00394691601395607,0.00039073526859283446
llama,squad,noise_1_character,2,10,0.6843365520238877,0.6898154437541961,0.005478891730308533,0.011586412787437439,0.01113017052412033,-0.0004562422633171082
llama,squad,noise_1_character,2,11,0.3423462837934494,0.34239975810050965,5.34743070602417e-05,0.029008102416992188,0.024159829318523406,-0.00484827309846878
llama,squad,noise_1_character,2,12,0.297060476988554,0.292904581874609,-0.004155895113945008,0.02451994940638542,0.02628767266869545,0.001767723262310028
llama,squad,noise_1_character,2,13,0.5152069896459579,0.5163386210799217,0.0011316314339637756,0.06440485715866089,0.06160387396812439,-0.002800983190536499
llama,squad,noise_1_character,2,14,0.6963719561696052,0.7191014945507049,0.0227295383810997,0.06645261496305466,0.06234972476959229,-0.004102890193462372
llama,squad,noise_1_character,2,15,0.47016429007053373,0.4858107015490532,0.01564641147851944,0.0024467072449624538,0.003006073459982872,0.0005593662150204182
llama,squad,noise_1_character,2,16,0.6411872267723083,0.6550375342369079,0.01385030746459961,0.019548285007476806,0.025066184997558593,0.005517899990081787
llama,squad,noise_1_character,2,17,0.3763316944241524,0.38512681275606153,0.00879511833190918,0.007566638290882111,0.010157844424247742,0.002591206133365631
